year,party,care,harm,fairness,cheating,authority,subversion,loyalty,betrayal,purity,degradation,sum,type
1960,R,0.462409973,0.439724538,0.430820082,0.357110922,0.447232401,0.34851168,0.424450538,0.320883946,0.312924057,0.314334664,3.8584028,mean
1976,R,0.451560711,0.426967917,0.436107231,0.34386037,0.447076121,0.338951886,0.434404852,0.316449541,0.312902552,0.315267967,3.823549149,mean
1980,R,0.463725064,0.448621177,0.432267588,0.361847901,0.445163487,0.348498157,0.420424429,0.325913414,0.322898036,0.32108304,3.890442292,mean
1984,R,0.458751469,0.444457506,0.421509698,0.350302638,0.43419136,0.347524553,0.409744368,0.328515277,0.318148053,0.323741761,3.836886683,mean
1988,R,0.458239359,0.442922731,0.418117496,0.355663893,0.430735896,0.351859759,0.411559635,0.330036637,0.33088123,0.34142815,3.871444786,mean
1992,R,0.670883844,0.664601113,0.611816669,0.534733654,0.622270719,0.519551287,0.592828214,0.487298518,0.483965676,0.516010997,5.70396069,mean
1996,R,0.441387698,0.436716818,0.400497373,0.346077411,0.407615858,0.336447657,0.39353097,0.322355924,0.311393265,0.335736498,3.731759473,mean
2000,R,0.43056486,0.436205739,0.385386476,0.339771934,0.395094737,0.32921491,0.382374036,0.325107878,0.316788332,0.342571813,3.683080715,mean
2004,R,0.47908564,0.458093714,0.429395814,0.359407058,0.44342297,0.366924326,0.429452776,0.347364798,0.334763075,0.3467414,3.994651571,mean
2008,R,0.471383188,0.457704356,0.425601226,0.360374598,0.43700726,0.357100836,0.430888116,0.336363815,0.326082309,0.333422936,3.93592864,mean
2012,R,0.449240165,0.440600254,0.410691095,0.340255711,0.416603212,0.330072655,0.40809418,0.313481111,0.313608314,0.31764563,3.740292327,mean
2016,R,0.43056486,0.436205739,0.385386476,0.339771934,0.395094737,0.32921491,0.382374036,0.325107878,0.316788332,0.342571813,3.683080715,mean
1960,D,0.463808955,0.441345908,0.439395668,0.351391997,0.457518772,0.350847351,0.438324217,0.31985243,0.317461528,0.310249908,3.890196735,mean
1976,D,0.465987384,0.443144828,0.442121194,0.359146235,0.447564411,0.346907226,0.440478808,0.3298626,0.329960823,0.331133227,3.936306736,mean
1980,D,0.486412679,0.448062747,0.464819563,0.360254243,0.468013464,0.354592991,0.467619709,0.32199465,0.33953946,0.314198752,4.025508258,mean
1984,D,0.480669178,0.458144553,0.445195999,0.36876192,0.457931495,0.358012678,0.434494036,0.337196624,0.335137378,0.3331157,4.008659561,mean
1988,D,0.473644838,0.447244583,0.430847487,0.354425472,0.441065899,0.345333599,0.436092227,0.325146984,0.327493829,0.32504967,3.906344589,mean
1992,D,0.468574629,0.448572344,0.423801326,0.354387318,0.438842452,0.343942742,0.42500967,0.317549011,0.315935557,0.319911317,3.856526366,mean
1996,D,0.472451895,0.447681409,0.423901216,0.35414531,0.437759699,0.348475297,0.423590549,0.318834753,0.312916351,0.320738033,3.860494511,mean
2000,D,0.464418124,0.44786199,0.416533504,0.356115973,0.431562043,0.350077155,0.41613346,0.330392182,0.31972353,0.330930438,3.863748399,mean
2004,D,0.463592193,0.453942179,0.412693893,0.348107918,0.437369206,0.357074882,0.421228843,0.339144326,0.321086248,0.333346577,3.887586266,mean
2008,D,0.455199442,0.441885831,0.418999984,0.354153048,0.417654898,0.332012075,0.408470936,0.318386303,0.313027297,0.319266768,3.779056582,mean
2012,D,0.452496756,0.436656724,0.414232336,0.345328976,0.416475888,0.326711448,0.411720525,0.317250336,0.317948922,0.317049578,3.755871487,mean
2016,D,0.464418124,0.44786199,0.416533504,0.356115973,0.431562043,0.350077155,0.41613346,0.330392182,0.31972353,0.330930438,3.863748399,mean
1960,D,0.116903455,0.11843502,0.104636989,0.092252101,0.107272897,0.089385744,0.103819076,0.088270636,0.086011781,0.093012301,3.890196735,rate
1976,D,0.119225064,0.113450794,0.112949472,0.090327565,0.117608132,0.09018756,0.112674049,0.082220117,0.08160552,0.079751727,3.936306736,rate
1980,D,0.118381878,0.112578835,0.112318786,0.091239392,0.113701609,0.08813013,0.111901546,0.083800024,0.083824977,0.084122821,4.025508258,rate
1984,D,0.120832612,0.111305882,0.11546854,0.089492859,0.116261956,0.088086514,0.116164141,0.07998857,0.084346979,0.078051946,4.008659561,rate
1988,D,0.119907707,0.114288716,0.11105857,0.091991329,0.114235566,0.089309824,0.108388859,0.084117052,0.083603352,0.083099025,3.906344589,rate
1992,D,0.121250142,0.114491841,0.110294286,0.090730724,0.112910136,0.088403261,0.111636907,0.083235612,0.08383639,0.083210701,3.856526366,rate
1996,D,0.121501731,0.116315124,0.109891982,0.091892881,0.113792157,0.089184595,0.110205306,0.082340682,0.081922312,0.08295323,3.860494511,rate
2000,D,0.122381186,0.115964783,0.109804901,0.091735737,0.113394721,0.09026701,0.109724427,0.082589096,0.081056028,0.083082111,3.863748399,rate
2004,D,0.120198853,0.11591386,0.107805546,0.09216852,0.111695172,0.090605578,0.107702008,0.085510791,0.082749573,0.0856501,3.887586266,rate
2008,D,0.119249365,0.116767101,0.106156845,0.089543458,0.112504052,0.091850021,0.108352282,0.087237762,0.0825927,0.085746413,3.779056582,rate
2012,D,0.120453196,0.116930197,0.110874229,0.093714672,0.110518297,0.087855809,0.108088071,0.084250208,0.082832128,0.084483193,3.755871487,rate
2016,D,0.120477167,0.116259762,0.110289273,0.091943768,0.110886618,0.086986855,0.109620504,0.084467836,0.084653834,0.084414384,3.863748399,rate
1960,R,0.11984492,0.113965431,0.111657622,0.09255408,0.115911278,0.090325375,0.110006798,0.083164968,0.081101967,0.081467561,3.8584028,rate
1976,R,0.118099884,0.111667956,0.114058226,0.089932248,0.116926997,0.088648497,0.11361299,0.082763299,0.08183563,0.082454273,3.823549149,rate
1980,R,0.119195975,0.115313669,0.11111014,0.093009451,0.114424904,0.08957803,0.108065972,0.083772844,0.08299777,0.082531243,3.890442292,rate
1984,R,0.119563466,0.115838059,0.109857218,0.091298667,0.113162414,0.09057462,0.106790844,0.085620271,0.082918282,0.084376159,3.836886683,rate
1988,R,0.118363914,0.114407606,0.108000377,0.091868517,0.111259729,0.090885904,0.106306472,0.085248959,0.085467118,0.088191404,3.871444786,rate
1992,R,0.117617193,0.116515725,0.107261726,0.09374778,0.109094496,0.091086057,0.103932731,0.085431605,0.084847302,0.090465384,5.70396069,rate
1996,R,0.11827871,0.117027054,0.107321326,0.092738402,0.109228867,0.090157916,0.105454538,0.086381753,0.083444088,0.089967347,3.731759473,rate
2000,R,0.116903455,0.11843502,0.104636989,0.092252101,0.107272897,0.089385744,0.103819076,0.088270636,0.086011781,0.093012301,3.683080715,rate
2004,R,0.119931772,0.114676764,0.107492683,0.089972067,0.111004167,0.0918539,0.107506942,0.086957471,0.083802822,0.086801413,3.994651571,rate
2008,R,0.11976416,0.116288784,0.108132353,0.091560247,0.11103028,0.090728483,0.109475591,0.085459836,0.082847617,0.084712648,3.93592864,rate
2012,R,0.120108303,0.117798347,0.109801871,0.090970352,0.111382527,0.088247823,0.109107563,0.083811928,0.083845937,0.084925349,3.740292327,rate
2016,R,0.116903455,0.11843502,0.104636989,0.092252101,0.107272897,0.089385744,0.103819076,0.088270636,0.086011781,0.093012301,3.683080715,rate